IRMA System ID,Publication Title,OUTLET,CHRPUBLICATIONYEAR,PUBLICATION_CATEGORY,FORCODE1,FORCODE2,FORCODE3,EID,SCOPUS_ID,DESCRIPTION,DOI,STAFFNUMBER,NAME,Author Faculty,Author School,Author Department,Division_1,Group_1,Division_id_1,Group_id_1,Confidence_1,Division_2,Group_2,Division_id_2,Group_id_2,Confidence_2,Division_3,Group_3,Division_id_3,Group_id_3,Confidence_3,Division_match_1,Division_match_2,Division_match_3,Any_Division_Match,Group_match_1,Group_match_2,Group_match_3,Any_Group_Match
1000100xPUB172,Measurement of inclusive radiative B-meson decays with a photon energy threshold of 1.7 GeV,Physical Review Letters,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-71549157774,,,10.1103/PhysRevLett.103.241801,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,Particle and high energy physics,510000,510700,0.883,Physical Sciences,Nuclear and plasma physics,510000.0,510600.0,0.863,Physical Sciences,"Atomic, molecular and optical physics",510000.0,510200.0,0.749,True,True,True,True,True,False,False,True
1000100xPUB173,Evidence of time-dependent CP violation in the decay B0->D*+D *-,Physical Review D,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-73549112416,,,10.1103/PhysRevD.80.111104,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,Particle and high energy physics,510000,510700,0.897,Physical Sciences,Nuclear and plasma physics,510000.0,510600.0,0.848,Physical Sciences,Quantum physics,510000.0,510800.0,0.799,True,True,True,True,True,False,False,True
1000100xPUB174,Measurement of the branching fraction for the decay Î¥(4S) ->Î¥(1S)n+n-,Physical Review D,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-64149100648,,,10.1103/PhysRevD.79.051103,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,Nuclear and plasma physics,510000,510600,0.866,Mathematical Sciences,Mathematical physics,490000.0,490200.0,0.792,Physical Sciences,Quantum physics,510000.0,510800.0,0.788,True,False,True,True,False,False,False,False
1000100xPUB175,Observation of B0->^^K0 and B0->^^K*0 at Belle,Physical Review D,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-64849089850,,,10.1103/PhysRevD.79.052006,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,Astronomical sciences,510000,510100,0.738,Physical Sciences,Quantum physics,510000.0,510800.0,0.664,Physical Sciences,"Atomic, molecular and optical physics",510000.0,510200.0,0.615,True,True,True,True,False,False,False,False
1000100xPUB176,High-statistics study of neutral-pion pair production in two-photon collisions,Physical Review D,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-64849109412,,,10.1103/PhysRevD.79.052009,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,"Atomic, molecular and optical physics",510000,510200,0.831,Physical Sciences,Quantum physics,510000.0,510800.0,0.829,Physical Sciences,Particle and high energy physics,510000.0,510700.0,0.756,True,True,True,True,False,False,True,True
1000100xPUB177,Measurement of the e+eJ/wcc' cross section at s 10.6GeV,Physical Review D,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-65849270460,,,10.1103/PhysRevD.79.071101,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,Particle and high energy physics,510000,510700,0.877,Physical Sciences,Nuclear and plasma physics,510000.0,510600.0,0.794,Physical Sciences,Quantum physics,510000.0,510800.0,0.677,True,True,True,True,True,False,False,True
1000149xPUB11,Oestrogen receptor-beta signalling protects against transplanted skin tumour growth in the mouse,Photochemical and Photobiological Sciences,2010,C1 - Refereed Journal articles,321104.0,,,2-s2.0-77951095127,,,10.1039/b9pp00168a,1103577,Jun-Lae Cho,Faculty of Science,School of Veterinary Science,Veterinary Science,Biological Sciences,Biochemistry and cell biology,310000,310100,0.412,,,,,,,,,,,False,False,False,False,False,False,False,False
1000149xPUB12,Mice drinking goji berry juice (Lycium barbarum) are protected from UV radiation-induced skin damage via antioxidant pathways,Photochemical and Photobiological Sciences,2010,C1 - Refereed Journal articles,420899.0,320401.0,,2-s2.0-77951121342,,,10.1039/b9pp00177h,1000149,Vivienne Reeve,Faculty of Science,School of Veterinary Science,Veterinary Science,Biological Sciences,Zoology,310000,310900,0.896,,,,,,,,,,,False,False,False,False,False,False,False,False
1000183xPUB21,Impact of nC24 agricultural mineral oil deposits on the searching efficiency and predation rate of the predatory mite Phytoseiulus persimilis Athias-Henriot (Acari: Phytoseiidae),Australian Journal of Entomology,2009,C1 - Refereed Journal articles,310301.0,,,2-s2.0-67651126719,,,10.1111/j.1440-6055.2009.00714.x,1000183,Alan Meats,Faculty of Science,School of Life and Environmental Sciences (SOLES),School of Life and Environmental Sciences (SOLES),Biological Sciences,Zoology,310000,310900,0.836,,,,,,,,,,,True,False,False,True,False,False,False,False
1000183xPUB22,Relative toxicity of nC24 agricultural mineral oil to Tetranychus urticae Koch (Acari: Tetranychidae) and Phytoseiulus persimilis Athias-Henriot (Acari: Phytoseiidae) and its possible relationship to egg ultrastructure,Australian Journal of Entomology,2009,C1 - Refereed Journal articles,310301.0,,,2-s2.0-67651129634,,,10.1111/j.1440-6055.2009.00713.x,1000183,Alan Meats,Faculty of Science,School of Life and Environmental Sciences (SOLES),School of Life and Environmental Sciences (SOLES),Biological Sciences,Zoology,310000,310900,0.789,,,,,,,,,,,True,False,False,True,False,False,False,False
1000183xPUB23,"Bacteria as food had no effect on fecundity during domestication of the fruit fly, Bactrocera tryoni",Journal of Applied Entomology,2009,C1 - Refereed Journal articles,310301.0,,,2-s2.0-68949168826,,,10.1111/j.1439-0418.2009.01420.x,1000183,Alan Meats,Faculty of Science,School of Life and Environmental Sciences (SOLES),School of Life and Environmental Sciences (SOLES),Biological Sciences,Microbiology,310000,310700,0.948,,,,,,,,,,,True,False,False,True,False,False,False,False
1000183xPUB24,"The influence of sublethal deposits of agricultural mineral oil on the functional and numerical responses of Phytoseiulus persimilis (Acari: Phytoseiidae) to its prey, Tetranychus urticae (Acari: Tetranychidae)",Experimental and Applied Acarology,2009,C1 - Refereed Journal articles,310301.0,,,2-s2.0-67651089588,,,10.1007/s10493-009-9242-6,1000183,Alan Meats,Faculty of Science,School of Life and Environmental Sciences (SOLES),School of Life and Environmental Sciences (SOLES),Biological Sciences,Zoology,310000,310900,0.883,,,,,,,,,,,True,False,False,True,False,False,False,False
1000183xPUB25,Multiple mating by females of two Bactrocera species (Diptera: Tephritidae: Dacinae),Bulletin of Entomological Research,2009,C1 - Refereed Journal articles,310301.0,,,2-s2.0-77955848312,,,10.1017/S0007485309990320,1000183,Alan Meats,Faculty of Science,School of Life and Environmental Sciences (SOLES),School of Life and Environmental Sciences (SOLES),Biological Sciences,Zoology,310000,310900,0.958,,,,,,,,,,,True,False,False,True,False,False,False,False
1000193xPUB31,P 2 X7 regenerative-loop potentiation of glutamate synaptic transmission by microglia and astrocytes,Journal of Theoretical Biology,2009,C1 - Refereed Journal articles,490102.0,,,2-s2.0-70349509847,,,10.1016/j.jtbi.2009.07.024,1000193,Maxwell Bennett,Faculty of Medicine and Health,School of Medical Sciences,School of Medical Sciences: Physiology,Biological Sciences,Biochemistry and cell biology,310000,310100,0.555,,,,,,,,,,,False,False,False,False,False,False,False,False
1000193xPUB34,"Schizophrenia: susceptibility genes, dendritic-spine pathology and gray matter loss",Progress in Neurobiology,2011,C1 - Refereed Journal articles,310910.0,,,2-s2.0-80054123267,,,10.1016/j.pneurobio.2011.08.003,1000193,Maxwell Bennett,Faculty of Medicine and Health,School of Medical Sciences,School of Medical Sciences: Physiology,Biological Sciences,Genetics,310000,310500,0.76,Biomedical And Clinical Sciences,Neurosciences,320000.0,320900.0,0.7,,,,,,True,False,False,True,False,False,False,False
1000200xPUB3,A new approach to pricing double-barrier options with arbitrary payoffs and exponential boundaries,Applied Mathematical Finance,2009,C1 - Refereed Journal articles,490106.0,,,2-s2.0-70449591496,,,10.1080/13504860903075480,1000200,Peter Buchen,University of Sydney Business School,Sydney Business School,Finance,Mathematical Sciences,Applied mathematics,490000,490100,0.632,Mathematical Sciences,Numerical and computational mathematics,490000.0,490300.0,0.608,Mathematical Sciences,Mathematical physics,490000.0,490200.0,0.547,True,True,True,True,True,False,False,True
1000201xPUB12,Multiple mapping conditioning of turbulent jet diffusion flames,Proceedings of the Combustion Institute,2009,C1 - Refereed Journal articles,400402.0,,,2-s2.0-59649091431,,,10.1016/j.proci.2008.06.164,1000201,John Kent,Faculty of Engineering,"School of Aerospace, Mechanical and Mechatronic Engineering","Aerospace, Mechanical and Mechatronic Engineering",Physical Sciences,Other physical sciences,510000,519900,0.286,,,,,,,,,,,False,False,False,False,False,False,False,False
1000201xPUB13,Modeling of scalar mixing in turbulent jet flames by multiple mapping conditioning,Physics of Fluids,2009,C1 - Refereed Journal articles,400402.0,,,2-s2.0-61849149832,,,10.1063/1.3081553,1000201,John Kent,Faculty of Engineering,"School of Aerospace, Mechanical and Mechatronic Engineering","Aerospace, Mechanical and Mechatronic Engineering",Chemical Sciences,Theoretical and computational chemistry,340000,340700,0.561,Chemical Sciences,Physical chemistry,340000.0,340600.0,0.536,,,,,,False,False,False,False,False,False,False,False
1000201xPUB14,Detailed modeling of size distribution functions and hydrogen content in combustion-formed particles,Combustion and Flame,2010,C1 - Refereed Journal articles,400402.0,,,2-s2.0-77950303969,,,10.1016/j.combustflame.2009.11.014,1000201,John Kent,Faculty of Engineering,"School of Aerospace, Mechanical and Mechatronic Engineering","Aerospace, Mechanical and Mechatronic Engineering",Physical Sciences,Particle and high energy physics,510000,510700,0.741,Chemical Sciences,Physical chemistry,340000.0,340600.0,0.727,Physical Sciences,Condensed matter physics,510000.0,510400.0,0.687,False,False,False,False,False,False,False,False
1000205xPUB7,Corpus Christi Plays and the Stations of the Cross: Medieval York and Modern Sydney,Sydney Studies in English,2009,C1 - Refereed Journal articles,470504.0,,,,,,,1000205,Margaret Rogerson,Faculty of Arts and Social Sciences,"School of Art, Communication and English",Discipline of English and Writing,Creative Arts And Writing,Performing arts,360000,360400,0.932,Creative Arts And Writing,Creative and professional writing,360000.0,360200.0,0.781,Creative Arts And Writing,Other creative arts and writing,360000.0,369900.0,0.723,False,False,False,False,False,False,False,False
1000225xPUB261,School Choice: How parents negotiate the new school market in Australia,School Choice: How parents negotiate the new school market in Australia,2009,A1 - Book,390306.0,,,,,,,1002601,Craig Brice Campbell,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Education systems,390000,390300,0.964,Education,"Education policy, sociology and philosophy",390000.0,390200.0,0.905,,,,,,True,True,False,True,True,False,False,True
1000225xPUB297,"What Makes a """"Good"""" Statistics Student and a """"Good"""" Statistics Teacher in Service Courses?",The Montana Math Enthusiast,2009,C1 - Refereed Journal articles,390109.0,,,,,,,1001137,Susan Gordon,DVC Education,Deputy Vice-Chancellor (Education),Mathematics Learning Centre,Education,Education systems,390000,390300,0.878,Education,Curriculum and pedagogy,390000.0,390100.0,0.811,Education,Specialist studies in education,390000.0,390400.0,0.728,True,True,True,True,False,True,False,True
1000225xPUB299,Evaluating the quality of e-learning at the degree level in the student experience of blended learning,British Journal of Educational Technology,2009,C1 - Refereed Journal articles,390303.0,390402.0,390405.0,2-s2.0-67249134020,,,10.1111/j.1467-8535.2008.00861.x,1024660,Paul Ginns,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Education systems,390000,390300,0.917,Education,Specialist studies in education,390000.0,390400.0,0.806,,,,,,True,True,False,True,True,True,False,True
1000225xPUB300,Intention of students in less developed cities in China to opt for undergraduate education abroad: Does this vary as their perceptions of the attractions of overseas study change?,International Journal of Educational Development,2009,C1 - Refereed Journal articles,390399.0,390303.0,390401.0,2-s2.0-70450221531,,,10.1016/j.ijedudev.2009.03.003,1109169,Fan-sing Hung,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Education systems,390000,390300,0.887,Education,"Education policy, sociology and philosophy",390000.0,390200.0,0.864,,,,,,True,True,False,True,True,False,False,True
1000225xPUB304,Body image and obesity among Australian adolescents from indigenous and Anglo-European backgrounds: implications for health promotion and obesity prevention among Aboriginal youth,Health Education Research,2009,C1 - Refereed Journal articles,420603.0,390399.0,390306.0,2-s2.0-71749107312,,,10.1093/her/cyp040,1109553,Renata Cinelli,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Health Sciences,Public health,420000,420600,0.813,Health Sciences,Epidemiology,420000.0,420200.0,0.8,Psychology,Clinical and health psychology,520000.0,520300.0,0.72,True,True,False,True,True,False,False,True
1000225xPUB306,Ten ways of focussing on science-specific vocabulary in EAP classrooms,EA Journal,2009,C1 - Refereed Journal articles,390108.0,,,,,,,1048637,David Hirsh,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Curriculum and pedagogy,390000,390100,0.964,Education,Education systems,390000.0,390300.0,0.904,Education,Specialist studies in education,390000.0,390400.0,0.874,True,True,True,True,True,False,False,True
1000225xPUB308,Understanding education and India: new turns in postcolonial scholarship,History of Education,2010,C1 - Refereed Journal articles,430301.0,430304.0,,,,,10.1080/00467600903528563,1004842,Tim Allender,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,"Education policy, sociology and philosophy",390000,390200,0.723,Education,Specialist studies in education,390000.0,390400.0,0.588,Education,Education systems,390000.0,390300.0,0.562,False,False,False,False,False,False,False,False
1000225xPUB309,"Unley High School. One Hundred Years of Public Education, 1910-2010","Unley High School. One Hundred Years of Public Education, 1910-2010",2010,A1 - Book,430302.0,,,,,,,1002601,Craig Brice Campbell,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Education systems,390000,390300,0.949,,,,,,,,,,,False,False,False,False,False,False,False,False
1000225xPUB310,The ontogenesis of writing in childhood and adolescence,"The Routledge International Handbook of English, Language and Literacy Teaching",2010,B1 - Book Chapter - Commercial pub,390104.0,,,,,,,1037168,Frances Christie,Faculty of Arts and Social Sciences,School of Education and Social Work,Sydney School of Education and Social Work Administration,"Language, Communication And Culture",Linguistics,470000,470400,0.836,"Language, Communication And Culture",Literary studies,470000.0,470500.0,0.832,"Language, Communication And Culture",Language studies,470000.0,470300.0,0.819,False,False,False,False,False,False,False,False
1000225xPUB311,The 'Grammar Wars ' in Australia,Beyond the Grammar Wars: A Resource for Teachers and Students on Developing Language Knowledge in the Enlgish/Literacy Classroom,2010,B1 - Book Chapter - Commercial pub,390108.0,390104.0,,,,,,1037168,Frances Christie,Faculty of Arts and Social Sciences,School of Education and Social Work,Sydney School of Education and Social Work Administration,"Language, Communication And Culture",Language studies,470000,470300,0.903,"Language, Communication And Culture",Linguistics,470000.0,470400.0,0.849,Education,"Education policy, sociology and philosophy",390000.0,390200.0,0.847,False,False,True,True,False,False,False,False
1000225xPUB312,Literacy as a theme in educational theory and in policy,Literacy and Social Responsibility: Multiple Perspectives,2010,B1 - Book Chapter - Commercial pub,390104.0,470411.0,,,,,,1037168,Frances Christie,Faculty of Arts and Social Sciences,School of Education and Social Work,Sydney School of Education and Social Work Administration,"Language, Communication And Culture",Linguistics,470000,470400,0.93,"Language, Communication And Culture",Language studies,470000.0,470300.0,0.922,"Language, Communication And Culture",Literary studies,470000.0,470500.0,0.897,True,True,True,True,True,False,False,True
1000225xPUB313,Literacy and Social Responsibility,Literacy and Social Responsibility: Multiple Perspectives,2010,B1 - Book Chapter - Commercial pub,390104.0,470401.0,,,,,,1037168,Frances Christie,Faculty of Arts and Social Sciences,School of Education and Social Work,Sydney School of Education and Social Work Administration,Education,Education systems,390000,390300,0.827,Education,"Education policy, sociology and philosophy",390000.0,390200.0,0.812,Education,Curriculum and pedagogy,390000.0,390100.0,0.692,True,True,True,True,False,False,True,True
1000225xPUB314,Envoi,Literacy and Social Responsibility: Multiple Perspectives,2010,B1 - Book Chapter - Commercial pub,390104.0,470401.0,,,,,,1037168,Frances Christie,Faculty of Arts and Social Sciences,School of Education and Social Work,Sydney School of Education and Social Work Administration,"Language, Communication And Culture","Other language, communication and culture",470000,479900,0.293,,,,,,,,,,,True,False,False,True,False,False,False,False
1000225xPUB322,English Teacher Professionalism and Professional Development: Some Common Issues in Indonesia,Asian EFL Journal,2010,C1 - Refereed Journal articles,390108.0,,,,,,,1025722,Lesley Harbon,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Education systems,390000,390300,0.955,Education,Curriculum and pedagogy,390000.0,390100.0,0.944,Education,Specialist studies in education,390000.0,390400.0,0.938,True,True,True,True,False,True,False,True
1000225xPUB324,Making intercultural language learning visible and assessable,Second International Conference on the Development and Assessment of Intercultural Competence ICC2010,2010,E1 - Conference proceeding,390108.0,,,,,,,1025722,Lesley Harbon,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,"Language, Communication And Culture","Other language, communication and culture",470000,479900,0.889,"Language, Communication And Culture",Linguistics,470000.0,470400.0,0.888,"Language, Communication And Culture",Language studies,470000.0,470300.0,0.861,False,False,False,False,False,False,False,False
1000225xPUB328,"A controlled intervention to promote a healthy body image, reduce eating disorder risk and prevent excessive exercise among trainee health  education and physical education teachers",Health Education Research,2010,C1 - Refereed Journal articles,420603.0,321005.0,,2-s2.0-77956574349,,,10.1093/her/cyq036,1001963,Jennifer O'Dea,Faculty of Arts and Social Sciences,School of Education and Social Work,Education,Health Sciences,Allied health and rehabilitation science,420000,420100,0.579,,,,,,,,,,,True,False,False,True,False,False,False,False
1000225xPUB333,Appraising Teacher Performance. Themes and Issues,Appraising Teacher Performance. Themes and Issues,2010,A1 - Book,390403.0,,,,,,,1034010,George Odhiambo,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Curriculum and pedagogy,390000,390100,0.968,Education,Education systems,390000.0,390300.0,0.963,Education,Specialist studies in education,390000.0,390400.0,0.946,True,True,True,True,False,False,True,True
1000225xPUB335,"Nation-state, diaspora and comparative education: the place of place in comparative education","Changing Educational Landscapes. Educational Policies, Schooling Systems and Higher Education - a comparative perspective",2010,B1 - Book Chapter - Commercial pub,390399.0,,,2-s2.0-84891440048,,,10.1007/978-90-481-8534-4_16,1001805,Anthony Welch,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,"Education policy, sociology and philosophy",390000,390200,0.691,Education,Specialist studies in education,390000.0,390400.0,0.576,Education,Education systems,390000.0,390300.0,0.503,True,True,True,True,False,False,True,True
1000225xPUB336,"Vietnam, Malaysia and the global knowledge system","Higher Education, Policy, and the Global Competition Phenomenon",2010,B1 - Book Chapter - Commercial pub,390399.0,,,,,,,1001805,Anthony Welch,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Information And Computing Sciences,Information systems,460000,460900,0.17,,,,,,,,,,,False,False,False,False,False,False,False,False
1000225xPUB338,Australian education in an era of markets and managerialism: A critical perspective,A Tribute to David N. Wilson. Clamouring for a Better World,2010,B1 - Book Chapter - Commercial pub,390399.0,,,,,,,1001805,Anthony Welch,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,"Education policy, sociology and philosophy",390000,390200,0.909,Education,Education systems,390000.0,390300.0,0.857,,,,,,True,True,False,True,False,True,False,True
1000225xPUB339,Internationalisation of Vietnamese Higher Education: Retrospect and Prospect,Reforming Vietnamese Higher Education,2010,B1 - Book Chapter - Commercial pub,390399.0,,,2-s2.0-85103955611,,,10.1007/978-90-481-3694-0_14,1001805,Anthony Welch,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Education systems,390000,390300,0.951,Education,"Education policy, sociology and philosophy",390000.0,390200.0,0.899,Education,Specialist studies in education,390000.0,390400.0,0.793,True,True,True,True,True,False,False,True
1000225xPUB340,Making Education Policy,"Education, Change and Society 2nd Ed",2010,B1 - Book Chapter - Commercial pub,390203.0,390202.0,,,,,,1001805,Anthony Welch,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,"Education policy, sociology and philosophy",390000,390200,0.843,Education,Education systems,390000.0,390300.0,0.731,Education,Specialist studies in education,390000.0,390400.0,0.662,True,True,True,True,True,False,False,True
1000225xPUB351,Rites of Passage and Rituals in Indonesia,Berg Encyclopedia of World Dress and Fashion: Volume 4 - South Asia and Southeast Asia,2010,B1 - Book Chapter - Commercial pub,449901.0,,,,,,,1001969,Marianne Hulsbosch,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,"Language, Communication And Culture",Cultural studies,470000,470200,0.822,"Language, Communication And Culture","Other language, communication and culture",470000.0,479900.0,0.645,,,,,,False,False,False,False,False,False,False,False
1000225xPUB355,Personalization enhances learning anatomy terms,Medical Teacher,2010,C1 - Refereed Journal articles,390402.0,,,2-s2.0-77956081100,,,10.3109/01421591003692714,1024660,Paul Ginns,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Education,Education systems,390000,390300,0.864,,,,,,,,,,,True,False,False,True,False,False,False,False
1000225xPUB356,A Healthy Mind in a Healthy Body? Australian University Sport in the 21st Century,Journal of the World Universities Forum,2010,C1 - Refereed Journal articles,390303.0,390202.0,390111.0,,,,,1010851,Steve Georgakis,Faculty of Arts and Social Sciences,School of Education and Social Work,School of Education and Social Work Research Operations,Physical Sciences,Other physical sciences,510000,519900,0.142,,,,,,,,,,,False,False,False,False,False,False,False,False
1000225xPUB359,Integrating technology with literacy: using teacher-guided collaborative online learning to encourage critical thinking,Research in Learning Technology,2010,C1 - Refereed Journal articles,390104.0,390405.0,,2-s2.0-78650769754,,,10.1080/09687769.2010.492846,1025725,Alyson Simpson,Faculty of Arts and Social Sciences,School of Education and Social Work,Education,Education,Curriculum and pedagogy,390000,390100,0.934,Education,Education systems,390000.0,390300.0,0.913,Education,Specialist studies in education,390000.0,390400.0,0.832,True,True,True,True,True,False,True,True
1000225xPUB361,Use EVA to Facilitate Pre-Service Teacher Peer Assessment,Society for Information Technology & Teacher Education International Conference 2010,2010,E1 - Conference proceeding,390403.0,390405.0,,,,,,1040638,Chun Hu,Faculty of Arts and Social Sciences,School of Education and Social Work,Education,Education,Education systems,390000,390300,0.938,Education,Specialist studies in education,390000.0,390400.0,0.848,Education,Curriculum and pedagogy,390000.0,390100.0,0.722,True,True,True,True,False,True,False,True
