OUTLET,division,division_id,Paper Count,Total Papers,Fraction
BMJ Open,Psychology,520000,25,1036,0.02
BMJ Open,Education,390000,21,1036,0.02
BMJ Open,Economics,380000,12,1036,0.01
BMJ Open,Human Society,440000,12,1036,0.01
BMJ Open,Philosophy And Religious Studies,500000,11,1036,0.01
BMJ Open,Biological Sciences,310000,9,1036,0.01
BMJ Open,Information And Computing Sciences,460000,5,1036,0.0
BMJ Open,Environmental Sciences,410000,4,1036,0.0
BMJ Open,"Commerce, Management, Tourism And Services",350000,2,1036,0.0
BMJ Open,Mathematical Sciences,490000,2,1036,0.0
BMJ Open,"Agricultural, Veterinary And Food Sciences",300000,1,1036,0.0
BMJ Open,Built Environment And Design,330000,1,1036,0.0
BMJ Open,Chemical Sciences,340000,1,1036,0.0
BMJ Open,Engineering,400000,1,1036,0.0
BMJ Open,"Language, Communication And Culture",470000,1,1036,0.0
BMJ Open,Physical Sciences,510000,1,1036,0.0
Nature Communications,Biomedical And Clinical Sciences,320000,166,613,0.27
Nature Communications,Biological Sciences,310000,150,613,0.24
Nature Communications,Engineering,400000,81,613,0.13
Nature Communications,Physical Sciences,510000,76,613,0.12
Nature Communications,Chemical Sciences,340000,61,613,0.1
Nature Communications,Earth Sciences,370000,18,613,0.03
Nature Communications,Mathematical Sciences,490000,16,613,0.03
Nature Communications,Environmental Sciences,410000,11,613,0.02
Nature Communications,Psychology,520000,8,613,0.01
Nature Communications,"Agricultural, Veterinary And Food Sciences",300000,6,613,0.01
Nature Communications,Information And Computing Sciences,460000,5,613,0.01
Nature Communications,Economics,380000,4,613,0.01
Nature Communications,Health Sciences,420000,4,613,0.01
Nature Communications,"History, Heritage And Archaeology",430000,4,613,0.01
Nature Communications,Human Society,440000,2,613,0.0
Nature Communications,"Language, Communication And Culture",470000,1,613,0.0
The Astrophysical Journal,Physical Sciences,510000,504,515,0.98
The Astrophysical Journal,Mathematical Sciences,490000,10,515,0.02
The Astrophysical Journal,Chemical Sciences,340000,1,515,0.0
Physical Review D,Physical Sciences,510000,499,501,1.0
Physical Review D,Mathematical Sciences,490000,2,501,0.0
Medical Journal of Australia,Biomedical And Clinical Sciences,320000,309,495,0.62
Medical Journal of Australia,Health Sciences,420000,109,495,0.22
Medical Journal of Australia,Indigenous Studies,450000,13,495,0.03
Medical Journal of Australia,Philosophy And Religious Studies,500000,11,495,0.02
Medical Journal of Australia,Economics,380000,8,495,0.02
Medical Journal of Australia,Education,390000,8,495,0.02
Medical Journal of Australia,Environmental Sciences,410000,8,495,0.02
Medical Journal of Australia,Mathematical Sciences,490000,6,495,0.01
Medical Journal of Australia,Biological Sciences,310000,5,495,0.01
Medical Journal of Australia,Human Society,440000,5,495,0.01
Medical Journal of Australia,Psychology,520000,5,495,0.01
Medical Journal of Australia,Law And Legal Studies,480000,4,495,0.01
Medical Journal of Australia,Earth Sciences,370000,1,495,0.0
Medical Journal of Australia,Engineering,400000,1,495,0.0
Medical Journal of Australia,"History, Heritage And Archaeology",430000,1,495,0.0
Medical Journal of Australia,Information And Computing Sciences,460000,1,495,0.0
International Journal of Environmental Research and Public Health,Health Sciences,420000,232,460,0.5
International Journal of Environmental Research and Public Health,Biomedical And Clinical Sciences,320000,133,460,0.29
International Journal of Environmental Research and Public Health,Information And Computing Sciences,460000,14,460,0.03
International Journal of Environmental Research and Public Health,Environmental Sciences,410000,13,460,0.03
International Journal of Environmental Research and Public Health,Indigenous Studies,450000,11,460,0.02
International Journal of Environmental Research and Public Health,"Commerce, Management, Tourism And Services",350000,9,460,0.02
International Journal of Environmental Research and Public Health,"Language, Communication And Culture",470000,8,460,0.02
International Journal of Environmental Research and Public Health,Biological Sciences,310000,7,460,0.02
International Journal of Environmental Research and Public Health,Human Society,440000,6,460,0.01
International Journal of Environmental Research and Public Health,Built Environment And Design,330000,5,460,0.01
International Journal of Environmental Research and Public Health,Education,390000,4,460,0.01
International Journal of Environmental Research and Public Health,Mathematical Sciences,490000,4,460,0.01
International Journal of Environmental Research and Public Health,"Agricultural, Veterinary And Food Sciences",300000,3,460,0.01
International Journal of Environmental Research and Public Health,Economics,380000,3,460,0.01
International Journal of Environmental Research and Public Health,Engineering,400000,3,460,0.01
International Journal of Environmental Research and Public Health,Psychology,520000,2,460,0.0
International Journal of Environmental Research and Public Health,Chemical Sciences,340000,1,460,0.0
International Journal of Environmental Research and Public Health,Earth Sciences,370000,1,460,0.0
International Journal of Environmental Research and Public Health,Physical Sciences,510000,1,460,0.0
Cochrane Database of Systematic Reviews,Biomedical And Clinical Sciences,320000,313,423,0.74
Cochrane Database of Systematic Reviews,Health Sciences,420000,100,423,0.24
Cochrane Database of Systematic Reviews,Human Society,440000,4,423,0.01
Cochrane Database of Systematic Reviews,Psychology,520000,2,423,0.0
Cochrane Database of Systematic Reviews,Biological Sciences,310000,1,423,0.0
Cochrane Database of Systematic Reviews,Creative Arts And Writing,360000,1,423,0.0
Cochrane Database of Systematic Reviews,Information And Computing Sciences,460000,1,423,0.0
Cochrane Database of Systematic Reviews,Philosophy And Religious Studies,500000,1,423,0.0
ANZ Journal of Surgery,Biomedical And Clinical Sciences,320000,370,404,0.92
ANZ Journal of Surgery,Health Sciences,420000,20,404,0.05
ANZ Journal of Surgery,Education,390000,4,404,0.01
ANZ Journal of Surgery,Biological Sciences,310000,2,404,0.0
ANZ Journal of Surgery,Engineering,400000,2,404,0.0
ANZ Journal of Surgery,Mathematical Sciences,490000,2,404,0.0
ANZ Journal of Surgery,Philosophy And Religious Studies,500000,2,404,0.0
ANZ Journal of Surgery,Economics,380000,1,404,0.0
ANZ Journal of Surgery,Physical Sciences,510000,1,404,0.0
BMC Public Health,Health Sciences,420000,234,390,0.6
BMC Public Health,Biomedical And Clinical Sciences,320000,94,390,0.24
BMC Public Health,Human Society,440000,13,390,0.03
BMC Public Health,Indigenous Studies,450000,13,390,0.03
BMC Public Health,Psychology,520000,8,390,0.02
BMC Public Health,Economics,380000,6,390,0.02
BMC Public Health,Education,390000,6,390,0.02
BMC Public Health,Information And Computing Sciences,460000,4,390,0.01
BMC Public Health,"Agricultural, Veterinary And Food Sciences",300000,3,390,0.01
BMC Public Health,"Commerce, Management, Tourism And Services",350000,3,390,0.01
BMC Public Health,Physical Sciences,510000,2,390,0.01
BMC Public Health,Biological Sciences,310000,1,390,0.0
BMC Public Health,Built Environment And Design,330000,1,390,0.0
BMC Public Health,"Language, Communication And Culture",470000,1,390,0.0
BMC Public Health,Philosophy And Religious Studies,500000,1,390,0.0
Internal Medicine Journal,Biomedical And Clinical Sciences,320000,316,381,0.83
Internal Medicine Journal,Health Sciences,420000,25,381,0.07
Internal Medicine Journal,Philosophy And Religious Studies,500000,12,381,0.03
Internal Medicine Journal,Biological Sciences,310000,10,381,0.03
Internal Medicine Journal,Human Society,440000,5,381,0.01
Internal Medicine Journal,Economics,380000,4,381,0.01
Internal Medicine Journal,Education,390000,4,381,0.01
Internal Medicine Journal,Indigenous Studies,450000,2,381,0.01
Internal Medicine Journal,Law And Legal Studies,480000,2,381,0.01
Internal Medicine Journal,Mathematical Sciences,490000,1,381,0.0
Journal of Paediatrics and Child Health,Biomedical And Clinical Sciences,320000,297,374,0.79
Journal of Paediatrics and Child Health,Health Sciences,420000,49,374,0.13
Journal of Paediatrics and Child Health,Biological Sciences,310000,8,374,0.02
Journal of Paediatrics and Child Health,Education,390000,4,374,0.01
Journal of Paediatrics and Child Health,Indigenous Studies,450000,4,374,0.01
Journal of Paediatrics and Child Health,Philosophy And Religious Studies,500000,3,374,0.01
Journal of Paediatrics and Child Health,Psychology,520000,3,374,0.01
Journal of Paediatrics and Child Health,Engineering,400000,2,374,0.01
Journal of Paediatrics and Child Health,Chemical Sciences,340000,1,374,0.0
Journal of Paediatrics and Child Health,Economics,380000,1,374,0.0
Journal of Paediatrics and Child Health,"Language, Communication And Culture",470000,1,374,0.0
Journal of Paediatrics and Child Health,Mathematical Sciences,490000,1,374,0.0
Physical Review Letters,Physical Sciences,510000,286,358,0.8
Physical Review Letters,Engineering,400000,32,358,0.09
Physical Review Letters,Mathematical Sciences,490000,20,358,0.06
Physical Review Letters,Chemical Sciences,340000,15,358,0.04
Physical Review Letters,Earth Sciences,370000,3,358,0.01
Nutrients,Biomedical And Clinical Sciences,320000,260,349,0.74
Nutrients,"Agricultural, Veterinary And Food Sciences",300000,37,349,0.11
Nutrients,Health Sciences,420000,30,349,0.09
Nutrients,Biological Sciences,310000,12,349,0.03
Nutrients,Psychology,520000,5,349,0.01
Nutrients,Chemical Sciences,340000,3,349,0.01
Nutrients,Indigenous Studies,450000,2,349,0.01
"Heart, Lung, and Circulation",Biomedical And Clinical Sciences,320000,313,341,0.92
"Heart, Lung, and Circulation",Health Sciences,420000,17,341,0.05
"Heart, Lung, and Circulation",Biological Sciences,310000,6,341,0.02
"Heart, Lung, and Circulation",Economics,380000,2,341,0.01
"Heart, Lung, and Circulation",Psychology,520000,2,341,0.01
"Heart, Lung, and Circulation",Indigenous Studies,450000,1,341,0.0
Journal of High Energy Physics,Physical Sciences,510000,321,327,0.98
Journal of High Energy Physics,Mathematical Sciences,490000,6,327,0.02
Optics Express,Physical Sciences,510000,228,322,0.71
Optics Express,Engineering,400000,78,322,0.24
Optics Express,Built Environment And Design,330000,10,322,0.03
Optics Express,Chemical Sciences,340000,3,322,0.01
Optics Express,Information And Computing Sciences,460000,2,322,0.01
Optics Express,Mathematical Sciences,490000,1,322,0.0
Proceedings of the National Academy of Sciences of the United States of America,Biological Sciences,310000,127,316,0.4
Proceedings of the National Academy of Sciences of the United States of America,Biomedical And Clinical Sciences,320000,59,316,0.19
Proceedings of the National Academy of Sciences of the United States of America,Chemical Sciences,340000,33,316,0.1
Proceedings of the National Academy of Sciences of the United States of America,Mathematical Sciences,490000,23,316,0.07
Proceedings of the National Academy of Sciences of the United States of America,Engineering,400000,16,316,0.05
Proceedings of the National Academy of Sciences of the United States of America,Physical Sciences,510000,11,316,0.03
Proceedings of the National Academy of Sciences of the United States of America,Economics,380000,10,316,0.03
Proceedings of the National Academy of Sciences of the United States of America,Environmental Sciences,410000,10,316,0.03
Proceedings of the National Academy of Sciences of the United States of America,Psychology,520000,9,316,0.03
Proceedings of the National Academy of Sciences of the United States of America,Earth Sciences,370000,4,316,0.01
Proceedings of the National Academy of Sciences of the United States of America,"History, Heritage And Archaeology",430000,4,316,0.01
Proceedings of the National Academy of Sciences of the United States of America,"Agricultural, Veterinary And Food Sciences",300000,3,316,0.01
Proceedings of the National Academy of Sciences of the United States of America,"Commerce, Management, Tourism And Services",350000,2,316,0.01
Proceedings of the National Academy of Sciences of the United States of America,Health Sciences,420000,2,316,0.01
Proceedings of the National Academy of Sciences of the United States of America,"Language, Communication And Culture",470000,2,316,0.01
Proceedings of the National Academy of Sciences of the United States of America,Information And Computing Sciences,460000,1,316,0.0
IEEE Transactions on Image Processing,Information And Computing Sciences,460000,292,315,0.93
IEEE Transactions on Image Processing,Engineering,400000,20,315,0.06
IEEE Transactions on Image Processing,Biomedical And Clinical Sciences,320000,1,315,0.0
IEEE Transactions on Image Processing,Health Sciences,420000,1,315,0.0
IEEE Transactions on Image Processing,Mathematical Sciences,490000,1,315,0.0
Astronomy & Astrophysics,Physical Sciences,510000,309,310,1.0
Astronomy & Astrophysics,Information And Computing Sciences,460000,1,310,0.0
European Physical Journal C,Physical Sciences,510000,262,268,0.98
European Physical Journal C,Biomedical And Clinical Sciences,320000,4,268,0.01
European Physical Journal C,Engineering,400000,1,268,0.0
European Physical Journal C,Mathematical Sciences,490000,1,268,0.0
Journal of Biological Chemistry,Biological Sciences,310000,160,268,0.6
Journal of Biological Chemistry,Biomedical And Clinical Sciences,320000,70,268,0.26
Journal of Biological Chemistry,Chemical Sciences,340000,33,268,0.12
Journal of Biological Chemistry,Physical Sciences,510000,2,268,0.01
Journal of Biological Chemistry,"Agricultural, Veterinary And Food Sciences",300000,1,268,0.0
Journal of Biological Chemistry,Health Sciences,420000,1,268,0.0
Journal of Biological Chemistry,Mathematical Sciences,490000,1,268,0.0
Animals,"Agricultural, Veterinary And Food Sciences",300000,200,260,0.77
Animals,Biological Sciences,310000,21,260,0.08
Animals,Human Society,440000,12,260,0.05
Animals,Environmental Sciences,410000,10,260,0.04
Animals,Health Sciences,420000,5,260,0.02
Animals,Philosophy And Religious Studies,500000,5,260,0.02
Animals,Mathematical Sciences,490000,4,260,0.02
Animals,Biomedical And Clinical Sciences,320000,1,260,0.0
Animals,Earth Sciences,370000,1,260,0.0
Animals,Economics,380000,1,260,0.0
Physics Letters B,Physical Sciences,510000,253,255,0.99
Physics Letters B,Mathematical Sciences,490000,2,255,0.01
International Journal of Molecular Sciences,Biomedical And Clinical Sciences,320000,149,254,0.59
International Journal of Molecular Sciences,Biological Sciences,310000,76,254,0.3
International Journal of Molecular Sciences,Chemical Sciences,340000,17,254,0.07
International Journal of Molecular Sciences,Engineering,400000,5,254,0.02
International Journal of Molecular Sciences,"Agricultural, Veterinary And Food Sciences",300000,3,254,0.01
International Journal of Molecular Sciences,Environmental Sciences,410000,1,254,0.0
International Journal of Molecular Sciences,Health Sciences,420000,1,254,0.0
International Journal of Molecular Sciences,Information And Computing Sciences,460000,1,254,0.0
International Journal of Molecular Sciences,Mathematical Sciences,490000,1,254,0.0
Vaccine,Biomedical And Clinical Sciences,320000,121,250,0.48
Vaccine,Health Sciences,420000,76,250,0.3
Vaccine,"Agricultural, Veterinary And Food Sciences",300000,23,250,0.09
Vaccine,Biological Sciences,310000,19,250,0.08
Vaccine,Human Society,440000,3,250,0.01
Vaccine,"Commerce, Management, Tourism And Services",350000,2,250,0.01
Vaccine,Indigenous Studies,450000,2,250,0.01
Vaccine,Chemical Sciences,340000,1,250,0.0
Vaccine,Economics,380000,1,250,0.0
Vaccine,Engineering,400000,1,250,0.0
Vaccine,Philosophy And Religious Studies,500000,1,250,0.0
Australian and New Zealand Journal of Obstetrics and Gynaecology,Biomedical And Clinical Sciences,320000,179,237,0.76
Australian and New Zealand Journal of Obstetrics and Gynaecology,Health Sciences,420000,44,237,0.19
Australian and New Zealand Journal of Obstetrics and Gynaecology,Biological Sciences,310000,5,237,0.02
Australian and New Zealand Journal of Obstetrics and Gynaecology,Indigenous Studies,450000,4,237,0.02
Australian and New Zealand Journal of Obstetrics and Gynaecology,Information And Computing Sciences,460000,2,237,0.01
Australian and New Zealand Journal of Obstetrics and Gynaecology,Mathematical Sciences,490000,2,237,0.01
Australian and New Zealand Journal of Obstetrics and Gynaecology,Philosophy And Religious Studies,500000,1,237,0.0
Supportive Care in Cancer,Biomedical And Clinical Sciences,320000,144,228,0.63
Supportive Care in Cancer,Psychology,520000,41,228,0.18
Supportive Care in Cancer,Health Sciences,420000,31,228,0.14
Supportive Care in Cancer,Economics,380000,3,228,0.01
Supportive Care in Cancer,Education,390000,2,228,0.01
Supportive Care in Cancer,Human Society,440000,2,228,0.01
Supportive Care in Cancer,Indigenous Studies,450000,2,228,0.01
Supportive Care in Cancer,Mathematical Sciences,490000,2,228,0.01
Supportive Care in Cancer,Biological Sciences,310000,1,228,0.0
IEEE Access,Information And Computing Sciences,460000,107,226,0.47
IEEE Access,Engineering,400000,89,226,0.39
IEEE Access,Mathematical Sciences,490000,10,226,0.04
IEEE Access,Health Sciences,420000,7,226,0.03
IEEE Access,Biomedical And Clinical Sciences,320000,6,226,0.03
IEEE Access,Physical Sciences,510000,3,226,0.01
IEEE Access,Biological Sciences,310000,1,226,0.0
IEEE Access,"Commerce, Management, Tourism And Services",350000,1,226,0.0
IEEE Access,Earth Sciences,370000,1,226,0.0
IEEE Access,"Language, Communication And Culture",470000,1,226,0.0
Physics in Medicine and Biology,Physical Sciences,510000,136,225,0.6
Physics in Medicine and Biology,Biomedical And Clinical Sciences,320000,43,225,0.19
Physics in Medicine and Biology,Engineering,400000,21,225,0.09
Physics in Medicine and Biology,Information And Computing Sciences,460000,19,225,0.08
Physics in Medicine and Biology,Health Sciences,420000,4,225,0.02
Physics in Medicine and Biology,Mathematical Sciences,490000,2,225,0.01
BMC Health Services Research,Health Sciences,420000,116,223,0.52
BMC Health Services Research,Biomedical And Clinical Sciences,320000,69,223,0.31
BMC Health Services Research,Information And Computing Sciences,460000,14,223,0.06
BMC Health Services Research,Indigenous Studies,450000,9,223,0.04
BMC Health Services Research,Economics,380000,6,223,0.03
BMC Health Services Research,Psychology,520000,3,223,0.01
BMC Health Services Research,Human Society,440000,2,223,0.01
BMC Health Services Research,Philosophy And Religious Studies,500000,2,223,0.01
BMC Health Services Research,Biological Sciences,310000,1,223,0.0
BMC Health Services Research,Education,390000,1,223,0.0
Australian Veterinary Journal,"Agricultural, Veterinary And Food Sciences",300000,190,219,0.87
Australian Veterinary Journal,Health Sciences,420000,8,219,0.04
Australian Veterinary Journal,Biological Sciences,310000,7,219,0.03
Australian Veterinary Journal,Biomedical And Clinical Sciences,320000,6,219,0.03
Australian Veterinary Journal,Education,390000,4,219,0.02
Australian Veterinary Journal,"Commerce, Management, Tourism And Services",350000,2,219,0.01
Australian Veterinary Journal,Environmental Sciences,410000,2,219,0.01
The Lancet,Biomedical And Clinical Sciences,320000,141,219,0.64
The Lancet,Health Sciences,420000,63,219,0.29
The Lancet,Biological Sciences,310000,3,219,0.01
The Lancet,Mathematical Sciences,490000,3,219,0.01
The Lancet,Environmental Sciences,410000,2,219,0.01
The Lancet,Human Society,440000,2,219,0.01
The Lancet,Psychology,520000,2,219,0.01
The Lancet,Engineering,400000,1,219,0.0
The Lancet,Indigenous Studies,450000,1,219,0.0
The Lancet,Philosophy And Religious Studies,500000,1,219,0.0
Physical Review E,Physical Sciences,510000,78,214,0.36
Physical Review E,Mathematical Sciences,490000,62,214,0.29
Physical Review E,Engineering,400000,45,214,0.21
Physical Review E,Chemical Sciences,340000,12,214,0.06
Physical Review E,Information And Computing Sciences,460000,10,214,0.05
Physical Review E,Biomedical And Clinical Sciences,320000,3,214,0.01
Physical Review E,Biological Sciences,310000,1,214,0.0
Physical Review E,Earth Sciences,370000,1,214,0.0
Physical Review E,Economics,380000,1,214,0.0
Physical Review E,Psychology,520000,1,214,0.0
Physical Review B,Physical Sciences,510000,145,212,0.68
Physical Review B,Chemical Sciences,340000,38,212,0.18
Physical Review B,Engineering,400000,27,212,0.13
Physical Review B,Information And Computing Sciences,460000,1,212,0.0
Physical Review B,Mathematical Sciences,490000,1,212,0.0
Optics Letters,Physical Sciences,510000,163,211,0.77
Optics Letters,Engineering,400000,41,211,0.19
Optics Letters,Chemical Sciences,340000,6,211,0.03
Optics Letters,Earth Sciences,370000,1,211,0.0
Journal of Medical Internet Research,Health Sciences,420000,81,210,0.39
Journal of Medical Internet Research,Biomedical And Clinical Sciences,320000,78,210,0.37
Journal of Medical Internet Research,Psychology,520000,13,210,0.06
Journal of Medical Internet Research,Education,390000,11,210,0.05
Journal of Medical Internet Research,Information And Computing Sciences,460000,10,210,0.05
Journal of Medical Internet Research,Indigenous Studies,450000,6,210,0.03
Journal of Medical Internet Research,"Language, Communication And Culture",470000,6,210,0.03
Journal of Medical Internet Research,Engineering,400000,2,210,0.01
Journal of Medical Internet Research,"Commerce, Management, Tourism And Services",350000,1,210,0.0
Journal of Medical Internet Research,Human Society,440000,1,210,0.0
Journal of Medical Internet Research,Mathematical Sciences,490000,1,210,0.0
Inorganic Chemistry,Chemical Sciences,340000,183,209,0.88
Inorganic Chemistry,Physical Sciences,510000,17,209,0.08
Inorganic Chemistry,Engineering,400000,5,209,0.02
Inorganic Chemistry,Education,390000,2,209,0.01
Inorganic Chemistry,Biological Sciences,310000,1,209,0.0
Inorganic Chemistry,Environmental Sciences,410000,1,209,0.0
Applied Physics Letters,Physical Sciences,510000,98,208,0.47
Applied Physics Letters,Engineering,400000,96,208,0.46
Applied Physics Letters,Chemical Sciences,340000,13,208,0.06
Applied Physics Letters,Environmental Sciences,410000,1,208,0.0
Chemical Communications,Chemical Sciences,340000,151,208,0.73
Chemical Communications,Engineering,400000,40,208,0.19
Chemical Communications,Physical Sciences,510000,8,208,0.04
Chemical Communications,Biomedical And Clinical Sciences,320000,6,208,0.03
Chemical Communications,Biological Sciences,310000,3,208,0.01
Nature,Biological Sciences,310000,73,204,0.36
Nature,Biomedical And Clinical Sciences,320000,43,204,0.21
Nature,Physical Sciences,510000,41,204,0.2
Nature,Earth Sciences,370000,14,204,0.07
Nature,Chemical Sciences,340000,11,204,0.05
Nature,Engineering,400000,8,204,0.04
Nature,Environmental Sciences,410000,5,204,0.02
Nature,Mathematical Sciences,490000,3,204,0.01
Nature,Health Sciences,420000,2,204,0.01
Nature,"History, Heritage And Archaeology",430000,2,204,0.01
Nature,Economics,380000,1,204,0.0
Nature,Information And Computing Sciences,460000,1,204,0.0
IEEE Transactions on Vehicular Technology,Engineering,400000,179,201,0.89
IEEE Transactions on Vehicular Technology,Information And Computing Sciences,460000,21,201,0.1
IEEE Transactions on Vehicular Technology,Mathematical Sciences,490000,1,201,0.0
ACS Applied Materials and Interfaces,Engineering,400000,133,199,0.67
ACS Applied Materials and Interfaces,Chemical Sciences,340000,36,199,0.18
ACS Applied Materials and Interfaces,Physical Sciences,510000,17,199,0.09
ACS Applied Materials and Interfaces,Biomedical And Clinical Sciences,320000,7,199,0.04
ACS Applied Materials and Interfaces,Biological Sciences,310000,5,199,0.03
ACS Applied Materials and Interfaces,Information And Computing Sciences,460000,1,199,0.01
International Journal of Cardiology,Biomedical And Clinical Sciences,320000,177,198,0.89
International Journal of Cardiology,Health Sciences,420000,8,198,0.04
International Journal of Cardiology,Biological Sciences,310000,4,198,0.02
International Journal of Cardiology,Economics,380000,4,198,0.02
International Journal of Cardiology,Chemical Sciences,340000,3,198,0.02
International Journal of Cardiology,Mathematical Sciences,490000,1,198,0.01
International Journal of Cardiology,Psychology,520000,1,198,0.01
Australian and New Zealand Journal of Public Health,Health Sciences,420000,86,195,0.44
Australian and New Zealand Journal of Public Health,Biomedical And Clinical Sciences,320000,58,195,0.3
Australian and New Zealand Journal of Public Health,Indigenous Studies,450000,30,195,0.15
Australian and New Zealand Journal of Public Health,Human Society,440000,5,195,0.03
Australian and New Zealand Journal of Public Health,Law And Legal Studies,480000,4,195,0.02
Australian and New Zealand Journal of Public Health,Mathematical Sciences,490000,3,195,0.02
Australian and New Zealand Journal of Public Health,Psychology,520000,3,195,0.02
Australian and New Zealand Journal of Public Health,Biological Sciences,310000,2,195,0.01
Australian and New Zealand Journal of Public Health,Economics,380000,2,195,0.01
Australian and New Zealand Journal of Public Health,Education,390000,1,195,0.01
Australian and New Zealand Journal of Public Health,Engineering,400000,1,195,0.01
New England Journal of Medicine,Biomedical And Clinical Sciences,320000,167,192,0.87
New England Journal of Medicine,Biological Sciences,310000,8,192,0.04
New England Journal of Medicine,Health Sciences,420000,5,192,0.03
New England Journal of Medicine,"History, Heritage And Archaeology",430000,3,192,0.02
New England Journal of Medicine,Mathematical Sciences,490000,3,192,0.02
New England Journal of Medicine,Chemical Sciences,340000,2,192,0.01
New England Journal of Medicine,Philosophy And Religious Studies,500000,2,192,0.01
New England Journal of Medicine,Economics,380000,1,192,0.01
New England Journal of Medicine,Human Society,440000,1,192,0.01
Angewandte Chemie - International Edition,Chemical Sciences,340000,135,190,0.71
Angewandte Chemie - International Edition,Engineering,400000,34,190,0.18
Angewandte Chemie - International Edition,Biomedical And Clinical Sciences,320000,13,190,0.07
Angewandte Chemie - International Edition,Biological Sciences,310000,6,190,0.03
Angewandte Chemie - International Edition,Physical Sciences,510000,2,190,0.01
Science of the Total Environment,Environmental Sciences,410000,66,190,0.35
Science of the Total Environment,Biological Sciences,310000,29,190,0.15
Science of the Total Environment,"Agricultural, Veterinary And Food Sciences",300000,21,190,0.11
Science of the Total Environment,Earth Sciences,370000,21,190,0.11
Science of the Total Environment,Health Sciences,420000,17,190,0.09
Science of the Total Environment,Engineering,400000,12,190,0.06
Science of the Total Environment,Biomedical And Clinical Sciences,320000,9,190,0.05
Science of the Total Environment,Built Environment And Design,330000,6,190,0.03
Science of the Total Environment,Human Society,440000,2,190,0.01
Science of the Total Environment,Information And Computing Sciences,460000,2,190,0.01
Science of the Total Environment,Physical Sciences,510000,2,190,0.01
Science of the Total Environment,Chemical Sciences,340000,1,190,0.01
Science of the Total Environment,Economics,380000,1,190,0.01
Science of the Total Environment,Mathematical Sciences,490000,1,190,0.01
Journal of Clinical Oncology,Biomedical And Clinical Sciences,320000,177,187,0.95
Journal of Clinical Oncology,Health Sciences,420000,5,187,0.03
Journal of Clinical Oncology,Psychology,520000,3,187,0.02
Journal of Clinical Oncology,Chemical Sciences,340000,1,187,0.01
Journal of Clinical Oncology,Economics,380000,1,187,0.01
Journal of Constructional Steel Research,Engineering,400000,182,182,1.0
Annals of Surgical Oncology,Biomedical And Clinical Sciences,320000,176,180,0.98
